Index,Group Name,Fractal Name,Pass/Fail,Notes,Center X,Center Y,X Scale Width,Y Scale Width
1,Attractors,Aizawa Attractor,Pass,,,,,
2,Attractors,Chen-Lee Attractor,Pass,,,,,
3,Attractors,Dadras Attractor,Pass,,,,,
4,Attractors,Halvorsen Attractor,Pass,,,,,
5,Attractors,Lorenz Attractor,Pass,,,,,
6,Attractors,Pickover Attractor,Pass,,,,,
7,Attractors,Thomas Attractor,Pass,,,,,
8,Barnsley,Barnsley J1,Pass,,,,,
9,Barnsley,Barnsley J2,Pass,,,,,
10,Barnsley,Barnsley J3,Pass,,,,,
11,Barnsley,Barnsley M1,Pass,,,,,
12,Barnsley,Barnsley M2,Pass,,,,,
13,Barnsley,Barnsley M3,Pass,,,,,
14,Bifurcation,Henon Parameter Space,Pass,,,,,
15,Bifurcation,Lambda Parameter Space,Pass,,,,,
16,Bifurcation,Logistic Parameter Space,Pass,Vertical bands?  Check formulation,,,,
17,Bifurcation,Mandelbrot Parameter Space,Pass,,,,,
18,Bifurcation,May-Lyapunov Reference,Pass,Vertical bands?  Check formulation,,,,
19,Bifurcation,Orbit Diagram,Pass,,,,,
20,Burning Ship Family,Burning Ship (Power 3),Pass,,,,,
21,Burning Ship Family,Burning Ship (Power 4),Pass,,,,,
22,Burning Ship Variants,Bird of Prey,Pass,,,,,
23,Burning Ship Variants,Buffalo Burning Ship,Pass,,,,,
24,Burning Ship Variants,Burning Ship Cubic,Pass,,,,,
25,Burning Ship Variants,Burning Ship Quartic,Pass,,,,,
26,Burning Ship Variants,Burning Ship Quintic,Pass,,,,,
27,Burning Ship Variants,Celtic Burning Ship,Pass,,,,,
28,Burning Ship Variants,Diagonal Burning Ship,Pass,,,,,
29,Burning Ship Variants,Partial Burning Ship,Pass,,,,,
30,Burning Ship Variants,Perpendicular Burning Ship,Pass,,,,,
31,Burning Ship Variants,Reverse Burning Ship,Pass,,,,,
32,Burning Ship Variants,Shark Burning Ship,Pass,,,,,
33,Burning Ship Variants,Vertical Burning Ship,Pass,looks almost exactly like Bird Of Prey.  Check formula or introduce more vairation,,,,
34,Chaotic Maps,Arneodo Attractor,Pass,,0.00,0.00,1.4457831325E+00,8.1325301205E-01
35,Chaotic Maps,Liu-Chen Attractor,Pass,,0.00,0.00,1.5437862490E+02,8.6837976551E+01
36,Chaotic Maps,Rabinovich-Fabrikant Attractor,Pass,,,,,
37,Chaotic Maps,Sprott B Attractor,Pass,,,,,
38,Classic Fractals,Lambda,Pass,,1.00,0.00,6.0000000000E+00,3.3750000000E+00
39,Classic Fractals,Mandelbrot Set,Pass,,,,,
40,Classic Fractals,Mandel-Lambda,Pass,,0.86,-0.03,5.5981979492E+00,5.5981979492E+00
41,Classic Fractals,Tetrate,Pass,,-1.50,0.00,3.0000000000E+00,1.6875000000E+00
42,Classic Fractals,Unity,Pass,,,,,
43,Complex Functions,1/sin(z)²,Pass,,,,,
44,Complex Functions,cos(z)/tan(z),Pass,,,,,
45,Complex Functions,Square + Trig,Pass,,,,,
46,Complex Functions,Tetration (z^z),Pass,,-1.12,0.18,3.7968605725E+01,2.1357340720E+01
47,Complex Functions,Trig + Trig,Pass,,,,,
48,Complex Functions,Trig × Trig,Pass,,,,,
49,Complex Functions,Trig Squared,Pass,,,,,
50,Complex Functions,z·sin(z) + z,Pass,,,,,
51,Distance Estimator,Burning Ship (Distance Estimator),Pass,,,,,
52,Distance Estimator,Julia (Distance Estimator),Pass,,,,,
53,Distance Estimator,Mandelbrot (Distance Estimator),Pass,,,,,
54,Distance Estimator,Tricorn (Distance Estimator),Pass,,,,,
